seed_index,scheme,cycle_index,in_fade,pdu_index,end_to_end_ok,completion_latency_s_ms,delivered_latency_s_ms,fade_penalty_db,fade_duration_cycles,cycle_retransmissions_path_a,cycle_retransmissions_path_b,backup_engaged,cycle_queue_delay_ms
0,Baseline,1,False,7,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,8,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,9,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,10,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,11,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,12,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,13,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,14,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,15,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,16,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,17,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,18,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,19,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,20,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,21,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,22,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,23,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,24,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,25,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,26,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,27,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,28,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,29,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
0,Baseline,1,False,30,True,2.0640350877192986,2.0640350877192986,3.0791468550554812,8,1,,False,1.0070175438596491
